name;affiliation
Agrawala, Maneesh;Stanford University
Barla, Pascal;Inria
Brown, Rachel;NVIDIA
Deschaintre, Valentin;Imperial College London
Didyk, Piotr;University of Lugano
Dischler, Jean-Michel;Université de Strasbourg
Dong, Yue;Microsoft Research Asia
Elek, Oskar;University of California, Santa Cruz
Frisvad, Jeppe Revall;Technical University of Denmark
Gkioulekas, Ioannis;Carnegie Mellon University
Gruson, Adrien;McGill University
Günther, Tobias;Friedrich-Alexander University of Erlangen-Nuremberg
Hanika, Johannes;Karlsruhe Institute of Technology / Weta Digital
Hasan, Milos;Adobe Research
Hedman, Peter;University College London
Heitz, Eric;Unity Technologies
Holzschuch, Nicolas;Inria
Hullin, Matthias;University of Bonn
Jakob, Wenzel;EPFL
Kaplanyan, Anton S.;Facebook Reality Labs
Khademi Kalantari, Nima;Texas A&M University
Kim, Min H.;KAIST
Krösl, Katharina;VRVis Zentrum fuer Virtual Reality und Visualisierung Forschungs
LeGendre, Chloe;USC Institute for Creative Technologies
Li, Tzu-Mao;MIT CSAIL
Liao, Jing;City University of Hong Kong
Masia, Belen;Universidad de Zaragoza
Meneveaux, Daniel;University of Poitiers
Myszkowski, Karol;Max-Planck-Institut für Informatik
Novak, Jan;NVIDIA
Pellacini, Fabio;Sapienza University of Rome
Rusinkiewicz, Szymon;Princeton University
Sander, Pedro;HKUST
Serrano, Ana;Max-Planck-Institut für Informatik
Stamminger, Marc;Friedrich-Alexander-Universität Erlangen-Nürnberg
Steinberger, Markus;Graz University of Technology
Subr, Kartic;University of Edinburgh
Sýkora, Daniel;Czech Technical University in Prague
Vangorp, Peter;Edge Hill University
Walter, Bruce;Cornell University
Wang, Beibei;Nanjing University of Science and Technology
Weidlich, Andrea;Weta Digital
Wong, Tien-Tsin;The Chinese University of Hong Kong
Xu, Kun;Tsinghua University
Zhao, Shuang;University of California, Irvine
